artist_name,artist_url,artist_followers,artist_popularity,artist_genres,artist_image
Lauv,https://open.spotify.com/artist/5JZ7CnR6gTvEMKX4g70Amv,6859059,75,,https://i.scdn.co/image/ab6761610000e5ebb173d69f77530d77a991984f
KIK,https://open.spotify.com/artist/3U0pUvFUMv6gJiTFnXiueY,289714,46,french rap,https://i.scdn.co/image/ab6761610000e5eb563e6b380216bec381354611
TeZATalks,https://open.spotify.com/artist/6olAhxDEja5fYKEHF6tA2W,62627,39,,https://i.scdn.co/image/ab6761610000e5eb77e3fcc8e2e27f84532fcbc5
Camellia,https://open.spotify.com/artist/4bwIf0yXJf0F9AmOl2J78M,258620,55,"speedcore, vocaloid",https://i.scdn.co/image/ab6761610000e5eb2dbba9ab02ebb745114a6723
Imagine Dragons,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,58666549,87,,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
Hans Zimmer,https://open.spotify.com/artist/0YC192cP3KPCRWx8zr8MfZ,4862029,79,soundtrack,https://i.scdn.co/image/ab6761610000e5eb371632043a8c12bb7eeeaf9d
Ludovico Einaudi,https://open.spotify.com/artist/2uFUBdaVGtyMqckSeCl0Qj,4043192,79,"neoclassical, classical",https://i.scdn.co/image/ab6761610000e5eb86008946f7c35b22282d7e8c
Ryuichi Sakamoto,https://open.spotify.com/artist/1tcgfoMTT1szjUeaikxRjA,1130790,63,"japanese classical, ambient, drone",https://i.scdn.co/image/ab6761610000e5eb323c73cb431edf7ba9ed34b2
Imagine Dragons,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,58666549,87,,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
Lena Raine,https://open.spotify.com/artist/3Ww8GMbCDMAGwJJ2hd7z7z,314889,60,,https://i.scdn.co/image/ab6761610000e5eb1d57e92e8f3fa62e756f9303
YOASOBI,https://open.spotify.com/artist/64tJ2EAv1R6UaZqc4iOCyj,9633130,74,"j-pop, anime",https://i.scdn.co/image/ab6761610000e5eb507349709ae19263301a62f7
STARSET,https://open.spotify.com/artist/0kD8IT1CzF7js2XKM9lLLa,1122180,65,,https://i.scdn.co/image/ab6761610000e5eb6360a7b99211498fc60bc904
Electric Callboy,https://open.spotify.com/artist/1WNoKxsp715jez1Td4vthc,1113422,70,"metalcore, metal",https://i.scdn.co/image/ab6761610000e5eb20f7005cd458083ae2d9ea68
Konomi Suzuki,https://open.spotify.com/artist/3O0kLS5sLZ41XZRxjBKmLF,230359,54,"anime, j-pop, j-rock",https://i.scdn.co/image/ab6761610000e5ebce9e8797e4189b7c277ead8f
Memphis May Fire,https://open.spotify.com/artist/7cNNNhdJDrt3vgQjwSavNf,949471,60,"metalcore, post-hardcore, screamo",https://i.scdn.co/image/ab6761610000e5eb97b338006d09399d93512ad3
LANDMVRKS,https://open.spotify.com/artist/6G43CiunIxMwb2tQ12vNP6,336237,58,"metalcore, deathcore, metal",https://i.scdn.co/image/ab6761610000e5eb288a81dd1d1387c0544c56e0
