user_id,language_id
1,1
1,15
2,1
2,20
3,15
3,1
3,20
4,20
4,1
4,15
5,1
5,20
6,15
6,1
6,20
6,34
7,1
8,15
8,1
8,20
8,34
8,2
9,1
9,15
9,20
10,15
10,1
10,20
10,43
11,15
11,1
12,15
12,2
13,15
13,1
14,15
14,1
15,15
15,1
15,20
16,15
16,1
16,2
17,15
17,1
18,15
18,1
18,20
18,34
18,46
19,1
19,15
19,20
20,1
20,20
20,32
21,1
21,20
21,34
21,43
22,15
22,1
22,34
22,20
22,2
22,18
22,25
23,15
23,1
23,43
23,20
23,34
24,15
24,1
25,15
25,1
25,20
25,34
26,1
26,20
27,1
27,20
28,15
28,1
28,25
28,34
28,20
29,15
29,1
30,1
30,20
31,15
31,1
32,15
32,1
33,15
33,1
34,15
34,1
35,15
35,1
35,32
35,34
35,2
36,15
36,1
37,15
37,1
37,2
38,15
38,1
39,1
39,15
39,2
40,2
40,15
40,1
41,15
41,1
41,2
42,15
42,1
43,1
43,2
44,15
44,1
45,15
45,2
45,5
45,1
46,15
46,1
47,15
47,1
48,34
48,1
48,15
49,15
49,1
49,2
50,15
50,1
51,1
52,15
53,1
54,1
55,15
55,1
56,15
56,1
57,15
57,1
58,15
58,1
58,22
59,15
59,1
60,15
60,1
61,15
61,1
62,15
62,2
62,1
62,5
62,46
63,1
63,15
63,2
64,15
64,1
64,2
65,15
66,1
66,15
67,1
67,32
67,22
68,15
69,15
69,1
70,15
70,1
71,15
71,1
72,15
72,1
73,15
73,1
74,15
75,1
76,15
76,1
76,2
76,34
77,34
77,15
77,1
78,15
78,1
80,15
80,1
81,1
82,15
82,1
83,15
83,1
84,15
84,1
84,22
84,2
85,1
86,15
86,1
86,32
87,1
87,15
87,34
88,1
88,15
89,15
89,1
89,20
89,34
90,15
91,15
91,1
91,2
91,5
92,1
92,15
93,1
93,2
93,25
94,1
94,15
95,20
95,1
96,1
96,2
96,9
96,43
97,15
97,1
97,5
97,2
98,9
98,15
98,1
100,15
100,1
101,15
101,1
102,15
102,1
102,2
102,9
102,6
103,15
103,1
